Running programme in gpu
Loading weights from ./detector/YOLOv3/weight/yolov3.weights... Done!
Loading weights from ./deep_sort/deep/checkpoint/ckpt.t7!
frame index: 369, spend time: 0.152s, fps: 6.569
frame index: 370, spend time: 0.168s, fps: 5.952
frame index: 371, spend time: 0.186s, fps: 5.389
frame index: 372, spend time: 0.192s, fps: 5.213
frame index: 373, spend time: 0.161s, fps: 6.195
frame index: 374, spend time: 0.163s, fps: 6.139
frame index: 375, spend time: 0.169s, fps: 5.922
frame index: 376, spend time: 0.190s, fps: 5.267
frame index: 377, spend time: 0.174s, fps: 5.743
frame index: 378, spend time: 0.152s, fps: 6.589
frame index: 379, spend time: 0.145s, fps: 6.891
frame index: 380, spend time: 0.142s, fps: 7.021
frame index: 381, spend time: 0.129s, fps: 7.750
frame index: 382, spend time: 0.100s, fps: 10.003
frame index: 383, spend time: 0.090s, fps: 11.143
frame index: 384, spend time: 0.091s, fps: 10.971
frame index: 385, spend time: 0.091s, fps: 10.944
frame index: 386, spend time: 0.092s, fps: 10.922
frame index: 387, spend time: 0.111s, fps: 9.043
frame index: 388, spend time: 0.116s, fps: 8.633
frame index: 389, spend time: 0.152s, fps: 6.597
frame index: 390, spend time: 0.174s, fps: 5.762
frame index: 391, spend time: 0.158s, fps: 6.338
frame index: 392, spend time: 0.161s, fps: 6.192
frame index: 393, spend time: 0.167s, fps: 5.978
frame index: 394, spend time: 0.187s, fps: 5.353
frame index: 395, spend time: 0.174s, fps: 5.735
frame index: 396, spend time: 0.162s, fps: 6.185
frame index: 397, spend time: 0.164s, fps: 6.089
frame index: 398, spend time: 0.158s, fps: 6.320
frame index: 399, spend time: 0.165s, fps: 6.071
frame index: 400, spend time: 0.178s, fps: 5.628
frame index: 401, spend time: 0.133s, fps: 7.538
frame index: 402, spend time: 0.133s, fps: 7.533
frame index: 403, spend time: 0.133s, fps: 7.541
frame index: 404, spend time: 0.141s, fps: 7.104
frame index: 405, spend time: 0.141s, fps: 7.072
frame index: 406, spend time: 0.147s, fps: 6.804
frame index: 407, spend time: 0.139s, fps: 7.174
frame index: 408, spend time: 0.115s, fps: 8.666
frame index: 409, spend time: 0.125s, fps: 7.978
frame index: 410, spend time: 0.138s, fps: 7.248
frame index: 411, spend time: 0.117s, fps: 8.551
frame index: 412, spend time: 0.117s, fps: 8.546
frame index: 413, spend time: 0.130s, fps: 7.681
frame index: 414, spend time: 0.170s, fps: 5.874
frame index: 415, spend time: 0.140s, fps: 7.129
frame index: 416, spend time: 0.118s, fps: 8.472
frame index: 417, spend time: 0.127s, fps: 7.869
frame index: 418, spend time: 0.109s, fps: 9.170
frame index: 419, spend time: 0.109s, fps: 9.174
frame index: 420, spend time: 0.124s, fps: 8.082
frame index: 421, spend time: 0.142s, fps: 7.034
