[Progress:37.4%] time:49.31s Loss:1.37552  Acc:45.310%
[Progress:37.6%] time:49.89s Loss:1.36355  Acc:45.465%
[Progress:37.9%] time:49.83s Loss:1.24537  Acc:45.643%
[Progress:38.2%] time:49.15s Loss:1.31371  Acc:45.813%
[Progress:38.4%] time:50.48s Loss:1.30161  Acc:45.980%
[Progress:38.7%] time:48.99s Loss:1.31850  Acc:46.139%
[Progress:39.0%] time:48.03s Loss:1.43159  Acc:46.276%
[Progress:39.2%] time:49.49s Loss:1.31151  Acc:46.430%
[Progress:39.5%] time:48.53s Loss:1.28593  Acc:46.594%
[Progress:39.8%] time:50.03s Loss:1.31992  Acc:46.737%
[Progress:40.1%] time:50.45s Loss:1.39634  Acc:46.875%
[Progress:40.3%] time:50.99s Loss:1.33461  Acc:47.013%
[Progress:40.6%] time:49.61s Loss:1.32248  Acc:47.159%
[Progress:40.9%] time:50.69s Loss:1.36970  Acc:47.295%
[Progress:41.1%] time:50.02s Loss:1.28113  Acc:47.446%
[Progress:41.4%] time:49.41s Loss:1.28975  Acc:47.593%
[Progress:41.7%] time:50.24s Loss:1.33980  Acc:47.728%
[Progress:41.9%] time:51.46s Loss:1.32425  Acc:47.861%
[Progress:42.2%] time:49.09s Loss:1.26659  Acc:47.996%
[Progress:42.5%] time:49.19s Loss:1.22276  Acc:48.141%
[Progress:42.7%] time:49.70s Loss:1.27494  Acc:48.276%
[Progress:43.0%] time:49.16s Loss:1.25189  Acc:48.416%
[Progress:43.3%] time:49.87s Loss:1.28161  Acc:48.550%
[Progress:43.5%] time:51.31s Loss:1.20781  Acc:48.693%
[Progress:43.8%] time:50.92s Loss:1.36690  Acc:48.812%
[Progress:44.1%] time:51.26s Loss:1.23610  Acc:48.950%
[Progress:44.4%] time:50.57s Loss:1.18233  Acc:49.085%
[Progress:44.6%] time:51.33s Loss:1.20492  Acc:49.223%
[Progress:44.9%] time:50.42s Loss:1.22513  Acc:49.352%
[Progress:45.2%] time:50.83s Loss:1.18967  Acc:49.483%
[Progress:45.4%] time:50.26s Loss:1.21925  Acc:49.612%
[Progress:45.7%] time:50.71s Loss:1.27800  Acc:49.725%
[Progress:46.0%] time:50.19s Loss:1.19126  Acc:49.853%
[Progress:46.2%] time:49.58s Loss:1.20924  Acc:49.984%
[Progress:46.5%] time:48.96s Loss:1.21989  Acc:50.114%
[Progress:46.8%] time:49.34s Loss:1.25032  Acc:50.232%
[Progress:47.0%] time:51.14s Loss:1.22624  Acc:50.348%
[Progress:47.3%] time:50.74s Loss:1.22300  Acc:50.462%
[Progress:47.6%] time:51.23s Loss:1.19561  Acc:50.582%
[Progress:47.8%] time:51.09s Loss:1.18966  Acc:50.696%
[Progress:48.1%] time:51.35s Loss:1.25900  Acc:50.808%
[Progress:48.4%] time:50.70s Loss:1.23204  Acc:50.919%
[Progress:48.7%] time:50.63s Loss:1.18457  Acc:51.038%
[Progress:48.9%] time:50.22s Loss:1.14830  Acc:51.156%
[Progress:49.2%] time:50.27s Loss:1.14858  Acc:51.279%
[Progress:49.5%] time:50.72s Loss:1.22318  Acc:51.388%
[Progress:49.7%] time:50.14s Loss:1.17407  Acc:51.506%
[Progress:50.0%] time:49.47s Loss:1.31283  Acc:51.607%
[Progress:50.3%] time:49.87s Loss:1.18967  Acc:51.712%
[Progress:50.5%] time:51.98s Loss:1.23990  Acc:51.815%
[Progress:50.8%] time:52.04s Loss:1.17941  Acc:51.917%
